Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Number of Investors,Valuation (Million),Funding (Million),Year Joined,Years to unicorn
Persona,$2B,15-09-2021,Cybersecurity,San Francisco,United States,North America,2018,$218M,"Coatue Management, Index Ventures, Founders Fund",3,2000,218,2021,3
Smartrecruiters,$2B,20-07-2021,Internet Software,San Francisco,United States,North America,2010,$225M,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",3,2000,225,2021,11
Snapdocs,$2B,25-05-2021,Fintech,San Francisco,United States,North America,2012,$253M,"Sequoia Capital, Y Combinator, F-Prime Capital",3,2000,253,2021,9
Zeta,$2B,24-05-2021,Fintech,San Francisco,United States,North America,2015,$340M,"Sodexo Ventures, SoftBank Group",2,2000,340,2021,6
Loom,$2B,20-05-2021,Internet Software,San Francisco,United States,North America,2016,$204M,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",3,2000,204,2021,5
Homelight,$2B,02-09-2021,Fintech,San Francisco,United States,North America,2012,$219M,"Zeev Ventures, Menlo Ventures,Crosslink Capital",3,2000,219,2021,9
Honeybook,$2B,04-05-2021,Internet Software,San Francisco,United States,North America,2013,$498M,"Norwest Venture Partners, Hillsven Capital, Aleph",3,2000,498,2021,8
Mercury,$2B,03-07-2021,Fintech,San Francisco,United States,North America,2019,$152M,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",3,2000,152,2021,2
Tonal,$2B,31-03-2021,E-Commerce,San Francisco,United States,North America,2015,$450M,"Mayfield Fund, Shasta Ventures, L Catterton",3,2000,450,2021,6
Circleci,$2B,11-05-2021,Internet Software,San Francisco,United States,North America,2011,$315M,"Threshold Ventures, Baseline Ventures, Harrison Metal",3,2000,315,2021,10
Harness,$2B,14-01-2021,Artificial Intelligence,San Francisco,United States,North America,2016,$195M,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",3,2000,195,2021,5
Algolia,$2B,28-07-2021,Internet Software,San Francisco,United States,North America,2012,$334M,"Accel, Alven Capital, Storm Ventures",3,2000,334,2021,9
Diamond Foundry,$2B,29-03-2021,Other,San Francisco,United States,North America,2012,$351M,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",3,2000,351,2021,9
Retool,$2B,22-12-2021,Internet Software,San Francisco,United States,North America,2000,$96M,Sequoia Capital,1,2000,96,2021,21
Chipper Cash,$2B,31-05-2021,Fintech,San Francisco,United States,North America,2017,$302M,"Deciens Capital, Bezos Expeditions, 500 Startups",3,2000,302,2021,4
Deliverr,$2B,22-11-2021,"Supply Chain, Logistics,",San Francisco,United States,North America,2017,$456M,"8VC, Activant Capital, GLP Capital Partners",3,2000,456,2021,4
Divvy Homes,$2B,13-08-2021,Fintech,San Francisco,United States,North America,2017,$370M,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",3,2000,370,2021,4
Hive,$2B,21-04-2021,Artificial Intelligence,San Francisco,United States,North America,2013,$121M,"Tomales Bay Capital, Bain & Company, General Catalyst",3,2000,121,2021,8
Iterable,$2B,15-06-2021,Internet Software,San Francisco,United States,North America,2013,$342M,"CRV, Blue Cloud Ventures, Index Ventures",3,2000,342,2021,8
Modern Treasury,$2B,06-10-2021,Fintech,San Francisco,United States,North America,2018,$183M,"Benchmark, Altimeter Capital, Quiet Capital",3,2000,183,2021,3
Mural,$2B,20-07-2021,Internet Software,San Francisco,United States,North America,2011,$192M,"Insight Partners, Tiger Global Management, Gradient Ventures",3,2000,192,2021,10
Netlify,$2B,17-11-2021,Internet Software,San Francisco,United States,North America,2014,$202M,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",3,2000,202,2021,7
Forte Labs,$1B,12-05-2021,Fintech,San Francisco,United States,North America,2018,$910M,"Iris Capital, Accel, Elaia Partners",3,1000,910,2021,3
Astranis Space Technologies,$1B,14-04-2021,Mobile & Telecommunications,San Francisco,United States,North America,2015,$303M,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",3,1000,303,2021,6
Gupshup,$1B,08-04-2021,Internet Software,San Francisco,United States,North America,2011,$384M,"Helion Venture Partners, Tiger Global management, CRV",3,1000,384,2021,10
Panther Labs,$1B,02-12-2021,Cybersecurity,San Francisco,United States,North America,2018,$141M,"Innovation Endeavors, s28 Capital, Lightspeed Venture Partners",3,1000,141,2021,3
Honor Technology,$1B,05-10-2021,Internet Software,San Francisco,United States,North America,2014,$325M,"Andreessen Horowitz, Prosus Ventures, Thrive Capital",3,1000,325,2021,7
Incode Technologies,$1B,07-12-2021,Cybersecurity,San Francisco,United States,North America,2015,$257M,"Dila Capital, Framework Ventures, 3L",3,1000,257,2021,6
Gem,$1B,28-09-2021,Internet Software,San Francisco,United States,North America,2017,$148M,"Accel, Greylock Partners, Meritech Capital Partners",3,1000,148,2021,4
Grubmarket,$1B,14-09-2021,E-Commerce,San Francisco,United States,North America,2013,$382M,"GGV Capital, BlackRock, ACE & Company",3,1000,382,2021,8
Mindtickle,$1B,03-08-2021,Internet Software,San Francisco,United States,North America,2012,$281M,"Qualcomm Ventures, Accel, Canaan Partners",3,1000,281,2021,9
Pilot.Com,$1B,26-03-2021,Fintech,San Francisco,United States,North America,2016,$161M,"Index Ventures, Sequoia Capital, Bezos Expeditions",3,1000,161,2021,5
Irl,$1B,15-06-2021,Internet Software,San Francisco,United States,North America,2017,$197M,"Goodwater Capital, Floodgate, Founders Fund",3,1000,197,2021,4
Modern Health,$1B,11-02-2021,Health,San Francisco,United States,North America,2017,$167M,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund",3,1000,167,2021,4
Elemy,$1B,06-10-2021,Health,San Francisco,United States,North America,2019,$323M,"General Catalyst, Bling Capital, Felicis Ventures",3,1000,323,2021,2
Fundbox,$1B,30-11-2021,Fintech,San Francisco,United States,North America,2013,$404M,"Khosla Ventures, General Catalyst, Blumberg Capital",3,1000,404,2021,8
People.Ai,$1B,11-08-2021,Internet Software,San Francisco,United States,North America,2017,$200M,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",3,1000,200,2021,4
Mobilecoin,$1B,07-07-2021,Fintech,San Francisco,United States,North America,2018,$107M,"General Catalyst, Future Ventures, AU21",3,1000,107,2021,3
Density,$1B,10-11-2021,Hardware,San Francisco,United States,North America,2014,$217M,"Founders Fund, Upfront Ventures, 01 Advisors",3,1000,217,2021,7
Mixpanel,$1B,15-11-2021,Internet Software,San Francisco,United States,North America,2009,$277M,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital",3,1000,277,2021,12
Human Interest,$1B,04-08-2021,Fintech,San Francisco,United States,North America,2015,$337M,"Wing Venture Capital, Slow Ventures, Uncork Capital",3,1000,337,2021,6
Mux,$1B,30-04-2021,Internet Software,San Francisco,United States,North America,2015,$174M,"Accel, Cobalt Capital, Andreessen Horowitz",3,1000,174,2021,6
Pandadoc,$1B,22-09-2021,Internet Software,San Francisco,United States,North America,2016,$51M,"Rembrandt Venture Partners, M12, Altos Ventures",3,1000,51,2021,5
Picsart,$1B,26-08-2021,Mobile & Telecommunications,San Francisco,United States,North America,2011,$195M,"Sequoia Capital, DCM Ventures, Insight Partners",3,1000,195,2021,10
Rothy'S,$1B,21-12-2021,Consumer & Retail,San Francisco,United States,North America,2016,$484M,"Alpargatas, GS Growth, Lightspeed Venture Partners",3,1000,484,2021,5
Sentry,$1B,18-02-2021,Other,San Francisco,United States,North America,2011,$127M,"New Enterprise Associates, Accel, Bond",3,1000,127,2021,10
Shippo,$1B,02-06-2021,"Supply Chain, Logistics,",San Francisco,United States,North America,2013,$154M,"Version One Ventures, Uncork Capital, Bessemer Venture Partners",3,1000,154,2021,8
Sift,$1B,22-04-2021,Artificial Intelligence,San Francisco,United States,North America,2011,$157M,"Union Square Ventures, Insight Partners, Spark Capital",3,1000,157,2021,10
Standard,$1B,17-02-2021,Artificial Intelligence,San Francisco,United States,North America,2017,$239M,"CRV, Y Combinator, Initialized Capital",3,1000,239,2021,4
Stytch,$1B,18-11-2021,Cybersecurity,San Francisco,United States,North America,2020,$126M,"Index Ventures, Benchmark, Thrive Capital",3,1000,126,2021,1
Weights & Biases,$1B,13-10-2021,Internet Software,San Francisco,United States,North America,2017,$200M,"Coatue Management, Insight Partners, Trinity Ventures",3,1000,200,2021,4
Stripe,$95B,23-01-2014,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG",3,95000,2000,2014,4
Instacart,$39B,30-12-2014,"Supply Chain, Logistics,",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",3,39000,3000,2014,2
Juul Labs,$38B,20-12-2017,Consumer & Retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,1,38000,14000,2017,2
Databricks,$38B,05-02-2019,Data Management & Analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",3,38000,3000,2019,6
Chime,$25B,05-03-2019,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",3,25000,2000,2019,6
Miro,$18B,05-01-2022,Internet Software,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",3,18000,476,2022,11
Discord,$15B,20-04-2018,Internet Software,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",3,15000,979,2018,6
Plaid,$13B,11-12-2018,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",3,13000,734,2018,6
Grammarly,$13B,10-10-2019,Internet Software,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",3,13000,400,2019,10
Faire,$12B,30-10-2019,Artificial Intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",3,12000,1000,2019,2
Airtable,$12B,15-11-2018,Internet Software,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",3,12000,1000,2018,5
Brex,$12B,05-10-2018,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",3,12000,1000,2018,1
Ripple,$10B,20-12-2019,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",3,10000,294,2019,7
Figma,$10B,30-04-2020,Internet Software,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",3,10000,333,2020,8
Gusto,$10B,18-12-2015,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",3,10000,691,2015,4
Notion Labs,$10B,01-04-2020,Internet Software,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",3,10000,343,2020,4
Reddit,$10B,31-07-2017,Internet Software,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",3,10000,1000,2017,12
Talkdesk,$10B,03-10-2018,Internet Software,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",3,10000,497,2018,7
Niantic,$9B,24-11-2017,Mobile & Telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",4,9000,770,2017,2
Flexport,$8B,30-04-2018,"Supply Chain, Logistics,",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",3,8000,2000,2018,5
Rippling,$7B,04-08-2020,Internet Software,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3,7000,447,2020,3
Carta,$7B,06-05-2019,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",3,7000,1000,2019,7
Scale Ai,$7B,05-08-2019,Artificial Intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",3,7000,603,2019,1
Postman,$6B,11-06-2020,Internet Software,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",3,6000,433,2020,6
Upgrade,$6B,12-02-2018,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",3,6000,587,2018,2
Checkr,$5B,19-09-2019,Internet Software,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",3,5000,559,2019,5
Kraken,$4B,25-06-2019,Fintech,San Francisco,United States,North America,2011,$119M,"Bnk To The Future, Trammell Ventures, SBI Investment",3,4000,119,2019,8
Patreon,$4B,02-09-2020,Internet Software,San Francisco,United States,North America,2013,$413M,"Index Ventures, Thrive Capital, CRV",3,4000,413,2020,7
Openai,$3B,22-07-2019,Artificial Intelligence,San Francisco,United States,North America,2015,$1B,Khosla Ventures,1,3000,1000,2019,4
Automattic,$3B,27-05-2013,Internet Software,San Francisco,United States,North America,2005,$859M,"Insight Venture Partners, Lowercase Capital, Polaris Partners",3,3000,859,2013,8
Komodo Health,$3B,22-05-2020,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3,3000,314,2020,6
Thumbtack,$3B,29-09-2015,E-Commerce,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",3,3000,698,2015,7
Inxeption,$3B,13-01-2022,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3,3000,187,2022,5
Boba,$2B,05-04-2022,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",3,2000,45,2022,4
Appdirect,$2B,07-10-2015,E-Commerce,San Francisco,United States,North America,2009,$431M,"Mithril, iNovia Capital, Foundry Group",3,2000,431,2015,6
Tradeshift,$2B,30-05-2018,Fintech,San Francisco,United States,North America,2009,$861M,"Notion Capital, Scentan Ventures, Kite Ventures",3,2000,861,2018,9
Collective Health,$2B,17-06-2019,Fintech,San Francisco,United States,North America,2013,$719M,"New Enterprise Associates, Founders Fund, Google Ventures",3,2000,719,2019,6
Strava,$2B,16-11-2020,Internet Software,San Francisco,United States,North America,2009,$152M,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",3,2000,152,2020,11
Cresta,$2B,17-03-2022,Artificial Intelligence,San Francisco,United States,North America,2017,$151M,"Andreessen Horowitz, Greylock Partners, Sequoia Capital",3,2000,151,2022,5
Transcarent,$2B,11-01-2022,Health,San Francisco,United States,North America,2020,$298M,"Alta Partners, General Catalyst, Jove Equity Partners",3,2000,298,2022,2
Optimism,$2B,17-03-2022,Internet Software,San Francisco,United States,North America,2019,$179M,"Paradigm, Huobi Ventures, Andreessen Horowitz",3,2000,179,2022,3
Pax,$2B,22-10-2018,Consumer & Retail,San Francisco,United States,North America,2007,$542M,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",3,2000,542,2018,11
Productboard,$2B,02-02-2022,Internet Software,San Francisco,United States,North America,2014,$261M,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners",3,2000,261,2022,8
Keeptruckin,$2B,23-04-2019,"Supply Chain, Logistics,",San Francisco,United States,North America,2013,$417M,"Google Ventures, Index Ventures, Scale Venture Partners",3,2000,417,2019,6
Dialpad,$2B,06-10-2020,Internet Software,San Francisco,United States,North America,2011,$400M,"Andreessen Horowitz, Google Ventures, Section 32",3,2000,400,2020,9
Appsflyer,$2B,21-01-2020,Mobile & Telecommunications,San Francisco,United States,North America,2011,$293M,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",3,2000,293,2020,9
Calm,$2B,06-02-2019,Consumer & Retail,San Francisco,United States,North America,2012,$218M,"Insight Venture Partners, TPG Growth, Sound Ventures",3,2000,218,2019,7
Virta Health,$2B,02-12-2020,Health,San Francisco,United States,North America,2015,$373M,"Caffeinated Capital, Obvious Ventures, Venrock",3,2000,373,2020,5
Eat Just,$1B,30-11-2017,Consumer & Retail,San Francisco,United States,North America,2011,$440M,"Khosla Ventures, Horizons Ventures, Founders Fund",3,1000,440,2017,6
Qualia,$1B,21-12-2020,Fintech,San Francisco,United States,North America,2015,$160M,"8VC, Menlo Ventures, Tiger Global Management",3,1000,160,2020,5
Aleo,$1B,07-02-2022,Cybersecurity,San Francisco,United States,North America,2019,$228M,"Slow Ventures, Andreessen Horowitz, SoftBank Group",3,1000,228,2022,3
Clarify Health,$1B,05-04-2022,Health,San Francisco,United States,North America,2015,$328M,"KKR, Aspenwood Ventures, Spark Capital",3,1000,328,2022,7
Envoy,$1B,11-01-2022,Internet Software,San Francisco,United States,North America,2013,$170M,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",3,1000,170,2022,9
Kong,$1B,31-12-2020,Internet Software,San Francisco,United States,North America,2007,$169M,"New Enterprise Associates, CRV, Index Ventures",3,1000,169,2020,13
Grove Collaborative,$1B,06-09-2019,E-Commerce,San Francisco,United States,North America,2016,$475M,"MHS Capital, NextView Ventures, Mayfield Fund",3,1000,475,2019,3
Cointracker,$1B,27-01-2022,Fintech,San Francisco,United States,North America,2017,$102M,"Initialized Capital, General Catalyst, Kraken Ventures",3,1000,102,2022,5
Intercom,$1B,27-03-2018,Internet Software,San Francisco,United States,North America,2011,$241M,"FirstMark Capital, Tiger Global Management",2,1000,241,2018,7
Captivateiq,$1B,26-01-2022,Fintech,San Francisco,United States,North America,2014,$165M,"Sequoia Capital, Y Combinator, Accel",3,1000,165,2022,8
Helium Systems,$1B,22-02-2022,Internet Software,San Francisco,United States,North America,2013,$365M,"FirstMark Capital, Tiger Global Management, FTX Venture",3,1000,365,2022,9
Phantom,$1B,31-01-2022,Fintech,San Francisco,United States,North America,2021,$118M,"Paradigm, Andreessen Horowitz, Jump Capital",3,1000,118,2022,1
Instabase,$1B,21-10-2019,Data Management & Analytics,San Francisco,United States,North America,2015,$132M,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",3,1000,132,2019,4
Alto Pharmacy,$1B,30-01-2020,Health,San Francisco,United States,North America,2015,$524M,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",3,1000,524,2020,5
Lookout,$1B,10-10-2013,Cybersecurity,San Francisco,United States,North America,2007,$282M,"Accel Partners, Greylock Partners, Lowercase Capital",3,1000,282,2013,6
Omada Health,$1B,23-02-2022,Health,San Francisco,United States,North America,2011,$449M,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz",3,1000,449,2022,11
Quizlet,$1B,13-05-2020,Edtech,San Francisco,United States,North America,2005,$62M,"Union Square Ventures, Altos Ventures, Costanoa Ventures",3,1000,62,2020,15
Rapidapi,$1B,23-03-2022,Internet Software,San Francisco,United States,North America,2015,$273M,"Green Bay Ventures, M12, Andreessen Horowitz",3,1000,273,2022,7
Watershed,$1B,08-02-2022,Internet Software,San Francisco,United States,North America,2019,$70M,"Kleiner Perkins Caufield & Byers, Sequoia Capital",2,1000,70,2022,3
Opensea,$13B,20-07-2021,E-Commerce,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",3,13000,427,2021,4
Digital Currency Group,$10B,01-11-2021,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",3,10000,1000,2021,6
Ramp,$8B,29-03-2021,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",3,8000,660,2021,2
Fireblocks,$8B,27-07-2021,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",3,8000,1000,2021,3
Gemini,$7B,19-11-2021,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",3,7000,424,2021,6
Consensys,$7B,17-11-2021,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",3,7000,660,2021,7
Ro,$7B,27-07-2020,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",3,7000,1000,2020,3
Better.Com,$6B,10-11-2020,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",3,6000,405,2020,2
Icapital Network,$6B,27-07-2021,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",3,6000,729,2021,8
Socure,$5B,16-03-2021,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",3,5000,644,2021,9
Dataiku,$5B,04-12-2019,Internet Software,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",3,5000,647,2019,6
Cockroach Labs,$5B,12-01-2021,Data Management & Analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital",3,5000,633,2021,6
Noom,$4B,24-05-2021,Health,New York,United States,North America,2006,$657M,"Qualcomm Ventures, Samsung Ventures, Silver Lake",3,4000,657,2021,15
Papaya Global,$4B,04-03-2021,Internet Software,New York,United States,North America,2016,$440M,"Bessemer Venture Partners, Insight Partners, New Era Ventures",3,4000,440,2021,5
Vast Data,$4B,16-04-2020,Data Management & Analytics,New York,United States,North America,2016,$263M,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",3,4000,263,2020,4
Articulate,$4B,01-07-2021,Edtech,New York,United States,North America,2015,$2B,"Blackstone, ICONIQ Growth, General Atlantic",3,4000,2000,2021,6
Chainalysis,$4B,23-11-2020,Fintech,New York,United States,North America,2014,$367M,"Addition, Benhcmark, Accel",3,4000,367,2020,6
Dataminr,$4B,04-06-2018,Artificial Intelligence,New York,United States,North America,2009,$1B,"Venrock, Institutional Venture Partners, Goldman Sachs",3,4000,1000,2018,9
Melio,$4B,25-01-2021,Fintech,New York,United States,North America,2018,$504M,"Accel, Aleph, American Express Ventures",3,4000,504,2021,3
A24 Films,$3B,09-03-2022,Other,New York,United States,North America,2012,$225M,"Stripes Group, Neuberger Berman",2,3000,225,2022,10
Axonius,$3B,01-03-2021,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",3,3000,395,2021,4
Via,$3B,30-03-2020,Auto & Transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",3,3000,777,2020,8
